,Major,Degree_Type,Early_Career_Pay,Mid-Career_Pay
452,Natural Sciences,Bachelors,45100,82800
453,Retail & Consumer Science,Bachelors,51800,82800
454,Literature,Bachelors,46800,82800
455,Bachelor in Science Nursing,Bachelors,64000,82700
456,History & Political Science,Bachelors,50600,82700
457,Museum Studies,Bachelors,38900,82700
458,Computer Information Management,Bachelors,49400,82600
459,Dental Hygiene,Bachelors,72700,82600
460,Law,Bachelors,54300,82600
461,Network Technology,Bachelors,59800,82600
462,Media Studies,Bachelors,50700,82400
463,Environmental Geography,Bachelors,50200,82300
464,Law Enforcement,Bachelors,46700,82200
465,Nuclear Medicine,Bachelors,60300,81900
466,Bachelor of Science in Nursing,Bachelors,63800,81900
467,Computer Animation,Bachelors,46800,81800
468,Landscape Architecture,Bachelors,51500,81800
469,Publishing,Bachelors,46300,81800
470,Interior Architecture,Bachelors,47600,81500
471,Diagnostic Medical Sonography,Bachelors,64300,81400
472,Environmental & Natural Resource Economics,Bachelors,52400,81400
473,Public Relations (PR),Bachelors,45600,81400
474,Workforce Education & Development,Bachelors,59900,81400
475,American History (United States),Bachelors,50900,81300
476,Drama,Bachelors,47400,81100
477,Management (MGT),Bachelors,47000,81000
478,Merchandising Management,Bachelors,46800,80900
479,Environmental Biology,Bachelors,45000,80800
480,Accounting & Business,Bachelors,52400,80700
481,Automotive Technology & Service Management,Bachelors,48800,80500
482,Speech Communication,Bachelors,46700,80500
483,Allied Health,Bachelors,44800,80400
484,Agricultural Systems Technology,Bachelors,60500,80300
485,Emergency Management,Bachelors,50900,80300
486,Network Administration,Bachelors,48700,80300
487,Communication Management,Bachelors,46000,80200
488,Historic Preservation,Bachelors,43400,80000
489,Broadcast Journalism,Bachelors,42900,79900
490,Broadcast & Cinematic Arts,Bachelors,42800,79900
491,Automotive Technology,Bachelors,48100,79800
492,Business Management & Administration,Bachelors,51400,79800
493,Agricultural Business,Bachelors,52700,79700
494,Technology Management,Bachelors,56400,79700
495,Global Studies,Bachelors,51200,79600
496,Professional Studies,Bachelors,42800,79600
497,Interpersonal Communications,Bachelors,45000,79500
498,Forestry,Bachelors,45900,79400
499,Homeland Security,Bachelors,49200,79400
500,Ancient History,Bachelors,46000,79300
501,Botany,Bachelors,42600,79300
502,Geography,Bachelors,49700,79300
503,Computer Aided Design (CAD),Bachelors,48700,79200
504,Nutrition Science,Bachelors,49500,79200
505,Acting,Bachelors,44200,79100
506,Public Management,Bachelors,50200,79100
